"X.1","X","tag.individual.identifier","individual.local.identifier","location.lat","location.long","timestamp","data_owner","individual.identifier"
20741,20741,725539,"BC #27 Wyatt",32.283516,-111.025622,"2022-01-26 3:00:08","mollohan_baldwin","Wyatt"
20742,20742,725539,"BC #27 Wyatt",32.283552,-111.025674,"2022-01-26 5:00:09","mollohan_baldwin","Wyatt"
20743,20743,725539,"BC #27 Wyatt",32.282269,-111.027126,"2022-01-26 7:00:10","mollohan_baldwin","Wyatt"
20744,20744,725539,"BC #27 Wyatt",32.263629,-111.045825,"2022-01-26 11:00:07","mollohan_baldwin","Wyatt"
20745,20745,725539,"BC #27 Wyatt",32.260094,-111.024242,"2022-01-26 13:00:11","mollohan_baldwin","Wyatt"
20746,20746,725539,"BC #27 Wyatt",32.262656,-111.022961,"2022-01-26 15:00:09","mollohan_baldwin","Wyatt"
20747,20747,725539,"BC #27 Wyatt",32.283045,-111.041427,"2022-01-26 17:00:12","mollohan_baldwin","Wyatt"
20748,20748,725539,"BC #27 Wyatt",32.291966,-111.046587,"2022-01-26 19:00:08","mollohan_baldwin","Wyatt"
20749,20749,725539,"BC #27 Wyatt",32.299857,-111.041124,"2022-01-26 21:00:10","mollohan_baldwin","Wyatt"
20750,20750,725539,"BC #27 Wyatt",32.280762,-111.027349,"2022-01-26 23:00:16","mollohan_baldwin","Wyatt"
20751,20751,725539,"BC #27 Wyatt",32.280948,-111.026891,"2022-01-27 3:00:22","mollohan_baldwin","Wyatt"
20752,20752,725539,"BC #27 Wyatt",32.278767,-111.025565,"2022-01-27 5:00:12","mollohan_baldwin","Wyatt"
20753,20753,725539,"BC #27 Wyatt",32.271863,-111.029292,"2022-01-27 11:00:10","mollohan_baldwin","Wyatt"
20754,20754,725539,"BC #27 Wyatt",32.27158,-111.041507,"2022-01-27 13:00:11","mollohan_baldwin","Wyatt"
20755,20755,725539,"BC #27 Wyatt",32.289857,-111.045756,"2022-01-27 15:00:13","mollohan_baldwin","Wyatt"
20756,20756,725539,"BC #27 Wyatt",32.29192,-111.045778,"2022-01-27 17:00:13","mollohan_baldwin","Wyatt"
20757,20757,725539,"BC #27 Wyatt",32.299059,-111.041173,"2022-01-27 19:00:47","mollohan_baldwin","Wyatt"
20758,20758,725539,"BC #27 Wyatt",32.287392,-111.027046,"2022-01-27 21:00:10","mollohan_baldwin","Wyatt"
20759,20759,725539,"BC #27 Wyatt",32.284304,-111.026969,"2022-01-27 23:00:11","mollohan_baldwin","Wyatt"
20760,20760,725539,"BC #27 Wyatt",32.284317,-111.027393,"2022-01-28 1:00:09","mollohan_baldwin","Wyatt"
20761,20761,725539,"BC #27 Wyatt",32.284225,-111.027516,"2022-01-28 5:00:08","mollohan_baldwin","Wyatt"
20762,20762,725539,"BC #27 Wyatt",32.25032,-111.020958,"2022-01-28 11:00:08","mollohan_baldwin","Wyatt"
20763,20763,725539,"BC #27 Wyatt",32.258826,-111.04079,"2022-01-28 13:00:10","mollohan_baldwin","Wyatt"
20764,20764,725539,"BC #27 Wyatt",32.27777,-111.037691,"2022-01-28 15:00:11","mollohan_baldwin","Wyatt"
20765,20765,725539,"BC #27 Wyatt",32.282523,-111.035709,"2022-01-28 17:00:13","mollohan_baldwin","Wyatt"
20766,20766,725539,"BC #27 Wyatt",32.274415,-111.037653,"2022-01-28 19:00:10","mollohan_baldwin","Wyatt"
20767,20767,725539,"BC #27 Wyatt",32.277585,-111.022096,"2022-01-28 21:00:08","mollohan_baldwin","Wyatt"
20768,20768,725539,"BC #27 Wyatt",32.282203,-111.02611,"2022-01-28 23:00:09","mollohan_baldwin","Wyatt"
20769,20769,725539,"BC #27 Wyatt",32.284133,-111.02662,"2022-01-29 3:00:11","mollohan_baldwin","Wyatt"
20770,20770,725539,"BC #27 Wyatt",32.284121,-111.026637,"2022-01-29 5:00:12","mollohan_baldwin","Wyatt"
20771,20771,725539,"BC #27 Wyatt",32.287781,-111.042469,"2022-01-29 9:00:09","mollohan_baldwin","Wyatt"
20772,20772,725539,"BC #27 Wyatt",32.2715,-111.04219,"2022-01-29 11:00:09","mollohan_baldwin","Wyatt"
20773,20773,725539,"BC #27 Wyatt",32.263642,-111.040705,"2022-01-29 13:00:09","mollohan_baldwin","Wyatt"
20774,20774,725539,"BC #27 Wyatt",32.267264,-111.036968,"2022-01-29 15:00:09","mollohan_baldwin","Wyatt"
20775,20775,725539,"BC #27 Wyatt",32.266171,-111.044572,"2022-01-29 17:00:18","mollohan_baldwin","Wyatt"
20776,20776,725539,"BC #27 Wyatt",32.280918,-111.02962,"2022-01-29 19:00:13","mollohan_baldwin","Wyatt"
20777,20777,725539,"BC #27 Wyatt",32.277201,-111.024397,"2022-01-29 21:00:13","mollohan_baldwin","Wyatt"
20778,20778,725539,"BC #27 Wyatt",32.276925,-111.025814,"2022-01-29 23:00:09","mollohan_baldwin","Wyatt"
20779,20779,725539,"BC #27 Wyatt",32.276853,-111.025705,"2022-01-30 1:00:14","mollohan_baldwin","Wyatt"
20780,20780,725539,"BC #27 Wyatt",32.276463,-111.02026,"2022-01-30 3:00:14","mollohan_baldwin","Wyatt"
20781,20781,725539,"BC #27 Wyatt",32.278017,-111.020648,"2022-01-30 5:00:17","mollohan_baldwin","Wyatt"
20782,20782,725539,"BC #27 Wyatt",32.278043,-111.020693,"2022-01-30 7:00:10","mollohan_baldwin","Wyatt"
20783,20783,725539,"BC #27 Wyatt",32.276966,-111.028311,"2022-01-30 9:00:08","mollohan_baldwin","Wyatt"
20784,20784,725539,"BC #27 Wyatt",32.268079,-111.036368,"2022-01-30 11:00:08","mollohan_baldwin","Wyatt"
20785,20785,725539,"BC #27 Wyatt",32.278732,-111.022519,"2022-01-30 13:00:09","mollohan_baldwin","Wyatt"
20786,20786,725539,"BC #27 Wyatt",32.280783,-111.025723,"2022-01-30 15:00:14","mollohan_baldwin","Wyatt"
20787,20787,725539,"BC #27 Wyatt",32.286391,-111.0378,"2022-01-30 17:00:09","mollohan_baldwin","Wyatt"
20788,20788,725539,"BC #27 Wyatt",32.28101,-111.051377,"2022-01-30 19:00:10","mollohan_baldwin","Wyatt"
20789,20789,725539,"BC #27 Wyatt",32.277144,-111.02937,"2022-01-30 21:00:10","mollohan_baldwin","Wyatt"
20790,20790,725539,"BC #27 Wyatt",32.27851,-111.022582,"2022-01-30 23:00:13","mollohan_baldwin","Wyatt"
20791,20791,725539,"BC #27 Wyatt",32.278839,-111.022284,"2022-01-31 1:00:13","mollohan_baldwin","Wyatt"
20792,20792,725539,"BC #27 Wyatt",32.278674,-111.023773,"2022-01-31 3:00:25","mollohan_baldwin","Wyatt"
20793,20793,725539,"BC #27 Wyatt",32.278106,-111.024822,"2022-01-31 5:00:23","mollohan_baldwin","Wyatt"
20794,20794,725539,"BC #27 Wyatt",32.278763,-111.023929,"2022-01-31 7:00:10","mollohan_baldwin","Wyatt"
20795,20795,725539,"BC #27 Wyatt",32.266522,-111.044518,"2022-01-31 11:00:11","mollohan_baldwin","Wyatt"
20796,20796,725539,"BC #27 Wyatt",32.271769,-111.042418,"2022-01-31 13:00:10","mollohan_baldwin","Wyatt"
20797,20797,725539,"BC #27 Wyatt",32.279657,-111.031521,"2022-01-31 15:00:11","mollohan_baldwin","Wyatt"
20798,20798,725539,"BC #27 Wyatt",32.278242,-111.021512,"2022-01-31 17:00:16","mollohan_baldwin","Wyatt"
20799,20799,725539,"BC #27 Wyatt",32.278533,-111.02756,"2022-01-31 19:00:09","mollohan_baldwin","Wyatt"
20800,20800,725539,"BC #27 Wyatt",32.287934,-111.028178,"2022-01-31 21:00:10","mollohan_baldwin","Wyatt"
20801,20801,725539,"BC #27 Wyatt",32.289194,-111.032142,"2022-01-31 23:00:15","mollohan_baldwin","Wyatt"
20802,20802,725539,"BC #27 Wyatt",32.29976,-111.043398,"2022-02-01 3:00:08","mollohan_baldwin","Wyatt"
20803,20803,725539,"BC #27 Wyatt",32.299684,-111.043419,"2022-02-01 5:00:08","mollohan_baldwin","Wyatt"
20804,20804,725539,"BC #27 Wyatt",32.299612,-111.043518,"2022-02-01 7:00:11","mollohan_baldwin","Wyatt"
20805,20805,725539,"BC #27 Wyatt",32.265832,-111.041038,"2022-02-01 11:00:08","mollohan_baldwin","Wyatt"
20806,20806,725539,"BC #27 Wyatt",32.264961,-111.041345,"2022-02-01 13:00:08","mollohan_baldwin","Wyatt"
20807,20807,725539,"BC #27 Wyatt",32.261519,-111.030456,"2022-02-01 15:00:09","mollohan_baldwin","Wyatt"
20808,20808,725539,"BC #27 Wyatt",32.267397,-111.037085,"2022-02-01 17:00:25","mollohan_baldwin","Wyatt"
20809,20809,725539,"BC #27 Wyatt",32.260522,-111.04349,"2022-02-01 19:00:09","mollohan_baldwin","Wyatt"
20810,20810,725539,"BC #27 Wyatt",32.27838,-111.025282,"2022-02-01 21:00:15","mollohan_baldwin","Wyatt"
20811,20811,725539,"BC #27 Wyatt",32.286855,-111.02555,"2022-02-01 23:00:11","mollohan_baldwin","Wyatt"
20812,20812,725539,"BC #27 Wyatt",32.284423,-111.026426,"2022-02-02 3:00:08","mollohan_baldwin","Wyatt"
20813,20813,725539,"BC #27 Wyatt",32.28284,-111.026582,"2022-02-02 7:00:11","mollohan_baldwin","Wyatt"
20814,20814,725539,"BC #27 Wyatt",32.275776,-111.020227,"2022-02-02 9:00:09","mollohan_baldwin","Wyatt"
20815,20815,725539,"BC #27 Wyatt",32.255599,-111.024391,"2022-02-02 13:00:09","mollohan_baldwin","Wyatt"
20816,20816,725539,"BC #27 Wyatt",32.277521,-111.038328,"2022-02-02 19:00:09","mollohan_baldwin","Wyatt"
20817,20817,725539,"BC #27 Wyatt",32.278742,-111.024873,"2022-02-03 1:00:12","mollohan_baldwin","Wyatt"
20818,20818,725539,"BC #27 Wyatt",32.278644,-111.024874,"2022-02-03 7:00:24","mollohan_baldwin","Wyatt"
20819,20819,725539,"BC #27 Wyatt",32.279209,-111.021844,"2022-02-03 19:00:10","mollohan_baldwin","Wyatt"
20820,20820,725539,"BC #27 Wyatt",32.298823,-111.040369,"2022-02-03 23:00:39","mollohan_baldwin","Wyatt"
20821,20821,725539,"BC #27 Wyatt",32.28567,-111.029865,"2022-02-04 7:00:21","mollohan_baldwin","Wyatt"
20822,20822,725539,"BC #27 Wyatt",32.271481,-111.04249,"2022-02-04 19:00:13","mollohan_baldwin","Wyatt"
20823,20823,725539,"BC #27 Wyatt",32.274668,-111.020524,"2022-02-05 1:00:11","mollohan_baldwin","Wyatt"
20824,20824,725539,"BC #27 Wyatt",32.279447,-111.025253,"2022-02-05 7:00:07","mollohan_baldwin","Wyatt"
20825,20825,725539,"BC #27 Wyatt",32.258705,-111.040451,"2022-02-05 13:00:09","mollohan_baldwin","Wyatt"
20826,20826,725539,"BC #27 Wyatt",32.282698,-111.030752,"2022-02-05 19:00:10","mollohan_baldwin","Wyatt"
20827,20827,725539,"BC #27 Wyatt",32.287658,-111.033133,"2022-02-06 1:00:13","mollohan_baldwin","Wyatt"
20828,20828,725539,"BC #27 Wyatt",32.284957,-111.029873,"2022-02-06 7:00:10","mollohan_baldwin","Wyatt"
20829,20829,725539,"BC #27 Wyatt",32.265742,-111.043743,"2022-02-06 13:00:08","mollohan_baldwin","Wyatt"
20830,20830,725539,"BC #27 Wyatt",32.284485,-111.027474,"2022-02-06 19:00:07","mollohan_baldwin","Wyatt"
20831,20831,725539,"BC #27 Wyatt",32.279117,-111.024559,"2022-02-07 1:00:22","mollohan_baldwin","Wyatt"
20832,20832,725539,"BC #27 Wyatt",32.279045,-111.02449,"2022-02-07 7:00:08","mollohan_baldwin","Wyatt"
20833,20833,725539,"BC #27 Wyatt",32.257697,-111.043346,"2022-02-07 13:00:11","mollohan_baldwin","Wyatt"
20834,20834,725539,"BC #27 Wyatt",32.28765,-111.033894,"2022-02-07 19:00:11","mollohan_baldwin","Wyatt"
20835,20835,725539,"BC #27 Wyatt",32.299764,-111.043513,"2022-02-08 1:00:09","mollohan_baldwin","Wyatt"
20836,20836,725539,"BC #27 Wyatt",32.287431,-111.027243,"2022-02-08 7:00:09","mollohan_baldwin","Wyatt"
20837,20837,725539,"BC #27 Wyatt",32.282464,-111.032004,"2022-02-08 13:00:10","mollohan_baldwin","Wyatt"
20838,20838,725539,"BC #27 Wyatt",32.276647,-111.039523,"2022-02-08 19:00:13","mollohan_baldwin","Wyatt"
20839,20839,725539,"BC #27 Wyatt",32.282106,-111.024442,"2022-02-09 1:00:26","mollohan_baldwin","Wyatt"
20840,20840,725539,"BC #27 Wyatt",32.288002,-111.031413,"2022-02-09 7:00:09","mollohan_baldwin","Wyatt"
20841,20841,725539,"BC #27 Wyatt",32.28536,-111.029848,"2022-02-09 13:00:08","mollohan_baldwin","Wyatt"
20842,20842,725539,"BC #27 Wyatt",32.285341,-111.029961,"2022-02-09 19:00:09","mollohan_baldwin","Wyatt"
20843,20843,725539,"BC #27 Wyatt",32.285345,-111.029947,"2022-02-10 1:00:09","mollohan_baldwin","Wyatt"
20844,20844,725539,"BC #27 Wyatt",32.253166,-111.048205,"2022-02-10 13:00:10","mollohan_baldwin","Wyatt"
20845,20845,725539,"BC #27 Wyatt",32.272706,-111.01785,"2022-02-10 19:00:07","mollohan_baldwin","Wyatt"
20846,20846,725539,"BC #27 Wyatt",32.28403,-111.031708,"2022-02-11 1:00:13","mollohan_baldwin","Wyatt"
