"name","scale_of_effect"
"Avery","roads_ 1500"
"Wyatt","roads_ 30"
"Ben","roads_ 30"
"Beverly","roads_ 30"
"BobbiJo","roads_ 750"
"Braeden","roads_ 1500"
"Bunny","roads_ 1500"
"Carrie","roads_ 30"
"Cassidy","roads_ 1500"
"Catherine","roads_ 1500"
"Charlie","roads_ 30"
"Cynthia","roads_ 750"
"Daphne","roads_ 1500"
"Dave","roads_ 30"
"Elsie","roads_ 750"
"EmmaClaire","roads_ 750"
"Hal","roads_ 1500"
"Jack","roads_ 1500"
"Jonathan","roads_ 750"
"Lisa","roads_ 1500"
"Luna","roads_ 750"
"Margaret","roads_ 1500"
"Michele","roads_ 1500"
"Minnie","roads_ 1500"
"Morgan","roads_ 30"
"Nala","roads_ 750"
"Rocky","roads_ 1500"
"Sadie","roads_ 750"
"Shannan","roads_ 30"
"Steve","roads_ 30"
"Sweetwater","roads_ 1500"
"Sylvia","roads_ 750"
"Val","roads_ 750"
