"name","scale_of_effect"
"Avery","low_ 1500"
"Wyatt","low_ 30"
"Ben","low_ 30"
"Beverly","low_ 30"
"BobbiJo","low_ 30"
"Braeden","low_ 30"
"Bunny","low_ 30"
"Carrie","low_ 30"
"Cassidy","low_ 30"
"Catherine","low_ 30"
"Charlie","low_ 30"
"Cynthia","low_ 30"
"Daphne","low_ 30"
"Dave","low_ 30"
"Elsie","low_ 30"
"EmmaClaire","low_ 30"
"Hal","low_ 30"
"Jack","low_ 30"
"Jonathan","low_ 30"
"Lisa","low_ 30"
"Luna","low_ 30"
"Margaret","low_ 30"
"Michele","low_ 750"
"Minnie","low_ 30"
"Morgan","low_ 30"
"Nala","low_ 30"
"Rocky","low_ 1500"
"Sadie","low_ 30"
"Shannan","low_ 30"
"Steve","low_ 30"
"Sweetwater","low_ 30"
"Sylvia","low_ 30"
"Val","low_ 30"
